Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2023-01-26,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MS,38654,6486526,Closed with non-monetary relief
2024-04-28,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying","CAINE & WEINER COMPANY, INC.",FL,33054,8876300,Closed with explanation
2022-07-19,Vehicle loan or lease,Loan,Problems at the end of the loan or lease,Problem while selling or giving up the vehicle,"American Credit Acceptance, LLC",DC,20001,5786887,Closed with non-monetary relief
2024-04-17,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"EQUIFAX, INC.",TX,76119,8789922,Closed with non-monetary relief
2020-09-04,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,"Convergent Resources, Inc.",GA,30338,3830074,Closed with explanation
2025-06-08,Debt collection,Rental debt,Written notification about debt,Didn't receive notice of right to dispute,"National Credit Systems,Inc.",TX,75231,13961858,Closed with explanation
2025-01-15,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",MS,39157,11555898,Closed with explanation
2022-09-20,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,AMERICAN EXPRESS COMPANY,DC,20003,5998970,Closed with explanation
2025-02-14,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",IL,60409,12080010,Closed with explanation
2024-09-10,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,"SIMM Associates, Inc.",RI,02904,10080420,Closed with explanation
2025-10-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",TN,38024,16345305,Closed with non-monetary relief
2021-01-11,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",CA,91910,4059428,Closed with explanation
2025-01-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,92262,11421661,Closed with explanation
2025-01-27,Mortgage,Conventional home mortgage,Trouble during payment process,Fees charged,RoundPoint Mortgage Servicing LLC,CO,804XX,11784272,Closed with explanation
2025-01-16,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,"Ability Recovery Services, LLC",FL,33604,11535590,Closed with explanation
2017-04-20,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NATIONSTAR MORTGAGE LLC,TN,38118,2444471,Closed with explanation
2025-05-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",TN,38119,13437609,Closed with non-monetary relief
2019-09-27,Mortgage,Other type of mortgage,Closing on a mortgage,,AMERISAVE MORTGAGE CORPORATION,AK,99507,3388758,Closed with monetary relief
2025-09-25,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,Trying to communicate with the company to fix an issue with the application process,WELLS FARGO & COMPANY,MO,63121,16184684,Closed with explanation
2025-08-28,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,CAPITAL ONE FINANCIAL CORPORATION,MD,21239,15590877,Closed with explanation
2025-07-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",TX,774XX,14675810,Closed with explanation
2020-06-28,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",FL,32256,3719629,Closed with explanation
